,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
1013,Waterworld,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper," 141,271 ",Action,Adventure,Sci-Fi,Color,"1,895",PG-13
1014,The Bodyguard,Kevin Costner,Whitney Houston,Gary Kemp," 200,452 ",Action,Drama,Music,Color,"2,039",R
1015,Central Intelligence,Dwayne Johnson,Kevin Hart,Danielle Nicolet," 228,578 ",Action,Comedy,Crime,"$127,440,871","2,230",PG-13
1016,White House Down,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal," 28,766 ",Action,Drama,Thriller,"$73,103,784","2,447",PG-13
1017,Every Which Way But Loose,Clint Eastwood,Sondra Locke,Geoffrey Lewis," 61,761",Action,Comedy,-,-,"2,648",PG
1018,Spectral,James Badge Dale,Emily Mortimer,Bruce Greenwood," 261,074 ",Action,Adventure,Sci-Fi,-,"2,660",PG-13
1019,Maze Runner: The Scorch Trials,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster," 218,988 ",Action,Adventure,Sci-Fi,-,"2,731",PG-13
1020,Miss Congeniality,Sandra Bullock,Michael Caine,Benjamin Bratt," 101,169 ",Action,Comedy,Crime,DTSDolby DigitalSDDS,"2,809",PG-13
1021,A View to a Kill,Roger Moore,Christopher Walken,Tanya Roberts," 195,018",Action,Adventure,Thriller,Color,"3,006",PG
1022,Bright,Will Smith,Joel Edgerton,Noomi Rapace," 37,052",Action,Fantasy,Thriller,Color,"3,097",TV-MA
1023,Unlocked,Noomi Rapace,Orlando Bloom,Toni Collette," 97,703 ",Action,Thriller,-,-,"3,149",R
1024,The Angry Birds Movie,Jason Sudeikis,Josh Gad,Danny McBride," 174,715 ",Animation,Action,Adventure,Color,"3,191",PG
1025,Predator 2,Danny Glover,Gary Busey,Kevin Peter Hall," 68,212 ",Action,Horror,Sci-Fi,"$30,669,413","3,254",R
1026,Criminal,Kevin Costner,Ryan Reynolds,Gal Gadot," 32,458",Action,Sci-Fi,Thriller,-,"3,410",R
1027,My Spy,Dave Bautista,Chloe Coleman,Parisa Fitz-Henley," 68,515 ",Action,Comedy,-,-,"3,428",PG-13
1028,The Collector,Josh Stewart,Andrea Roth,Juan Fernández," 208,397 ",Action,Horror,Thriller,-,"3,517",R
1029,Transporter 2,Jason Statham,Amber Valletta,Kate Nauta," 52,551 ",Action,Crime,Thriller,Color,"3,565",R
1030,Scouts Guide to the Zombie Apocalypse,Tye Sheridan,Logan Miller,Joey Morgan," 64,794",Action,Comedy,Horror,-,"3,623",R
1031,Guns Akimbo,Daniel Radcliffe,Samara Weaving,Ned Dennehy," 165,938 ",Action,Comedy,Crime,-,"3,711",R
1032,Once Upon a Time in Mexico,Antonio Banderas,Salma Hayek,Johnny Depp," 170,881 ",Action,Crime,Thriller,-,"3,791",R
1033,Beowulf,Ray Winstone,Crispin Glover,Angelina Jolie," 25,294",Animation,Action,Adventure,Color,"3,806",PG-13
1034,Sand Castle,Nicholas Hoult,Logan Marshall-Green,Henry Cavill," 74,113 ",Action,Drama,War,-,"3,852",TV-MA
1035,Death Wish,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue," 47,026 ",Action,Crime,Drama,Color,"3,971",R
1036,The Take,Idris Elba,Richard Madden,Charlotte Le Bon," 119,679 ",Action,Crime,Drama,-,"4,036",R
1037,The Commuter,Liam Neeson,Vera Farmiga,Patrick Wilson," 47,365 ",Action,Mystery,Thriller,-,"4,056",PG-13
1038,The Dead Pool,Clint Eastwood,Liam Neeson,Patricia Clarkson," 43,525",Action,Crime,Mystery,-,"4,074",R
1039,#Alive,Yoo Ah-in,Park Shin-Hye,Jeon Bae-soo," 38,380 ",Action,Drama,Horror,Color,"4,123",TV-MA
1040,The Black Cauldron,Grant Bardsley,Freddie Jones,Susan Sheridan," 177,737 ",Animation,Action,Adventure,-,"4,192",PG
